"cw_output";"order";"type";"german";"property"
"Bathing";NA;"multiple";"Baden";"LAKE_USAGE"
"Dog bathing";NA;"multiple";"Hundebadestelle";"LAKE_USAGE"
"Activities on the shore";NA;"multiple";"Aktivitäten am Ufer";"LAKE_USAGE"
"Water sports";NA;"multiple";"Wassersport";"LAKE_USAGE"
"Fishing";NA;"multiple";"Angeln";"LAKE_USAGE"
"No visible usage";NA;"multiple";"Keine sichtbare Nutzung";"LAKE_USAGE"
"^$";NA;"multiple";"Keine Antwort";"LAKE_USAGE"
"yes";NA;"single";"Ja";"LAKE_ACCESS"
"nein";NA;"single";"Nein";"LAKE_ACCESS"
"^$";NA;"single";"Keine Antwort";"LAKE_ACCESS"
"partly built-in";2;"single";"Teilverbaut";"LAKE_SHORE_STATE"
"built-in";3;"single";"Verbaut";"LAKE_SHORE_STATE"
"natural";1;"single";"Natürlich";"LAKE_SHORE_STATE"
"^$";4;"single";"Keine Antwort";"LAKE_SHORE_STATE"
"No litter";1;"single";"Kein Abfall";"LITTER_IN_WATER"
"Some litter, but not prominent";2;"single";"Etwas Abfall, aber nicht auffallend";"LITTER_IN_WATER"
"^$";4;"single";"Keine Antwort";"LITTER_IN_WATER"
"Abundant litter";3;"single";"Viel Abfall";"LITTER_IN_WATER"
"yes";NA;"single";"Ja";"LAKE_SWIM"
"nein";NA;"single";"Nein";"LAKE_SWIM"
"^$";NA;"single";"Keine Antwort";"LAKE_SWIM"
"20 – 50  cm";2;"single";"20 – 50  cm";"LAKE_TRANSPARENCY"
"50 cm – 1 m";3;"single";"50 cm – 1 m";"LAKE_TRANSPARENCY"
"deeper than 1 m";4;"single";"Tiefer als 1 m";"LAKE_TRANSPARENCY"
"a few cm";1;"single";"Ein paar cm";"LAKE_TRANSPARENCY"
"^$";5;"single";"Keine Antwort";"LAKE_TRANSPARENCY"
"clear";NA;"single";"Klar";"LAKE_WATER_COLOUR"
"gray";NA;"single";"Grau";"LAKE_WATER_COLOUR"
"brown";NA;"single";"Braun";"LAKE_WATER_COLOUR"
"green";NA;"single";"Grün";"LAKE_WATER_COLOUR"
"Beige";NA;"single";"Beige";"LAKE_WATER_COLOUR"
"^$";NA;"single";"Keine Antwort";"LAKE_WATER_COLOUR"
"No odor";1;"single";"Kein Geruch";"LAKE_SMELL"
"Other odor";6;"single";"Anderer deutlicher Geruch";"LAKE_SMELL"
"Fishy";3;"single";"Fischig";"LAKE_SMELL"
"Musty";2;"single";"Modrig";"LAKE_SMELL"
"Other sewage odor";5;"single";"Sonstiger Abwassergeruch";"LAKE_SMELL"
"Rotten eggs";4;"single";"Faule Eier";"LAKE_SMELL"
"^$";7;"single";"Keine Antwort";"LAKE_SMELL"
"Reed";NA;"multiple";"Schilf";"LAKE_SHORE_VEGETATION"
"Trees";NA;"multiple";"Bäume";"LAKE_SHORE_VEGETATION"
"Lawn";NA;"multiple";"Rasen";"LAKE_SHORE_VEGETATION"
"Other";NA;"multiple";"Sonstige";"LAKE_SHORE_VEGETATION"
"^$";NA;"multiple";"Keine Antwort";"LAKE_SHORE_VEGETATION"
"yes";NA;"single";"Ja";"LAKE_PLANTS_UNDERWATER"
"nein";NA;"single";"Nein";"LAKE_PLANTS_UNDERWATER"
"^$";NA;"single";"Keine Antwort";"LAKE_PLANTS_UNDERWATER"
"yes";NA;"single";"Ja";"FLOATING_LEAVE_PLANTS"
"non";NA;"single";"Nein";"FLOATING_LEAVE_PLANTS"
"^$";NA;"single";"Keine Antwort";"FLOATING_LEAVE_PLANTS"
"ca 1/4";2;"single";"Einviertel";"DUCKWEED"
"zero";1;"single";"Nichts";"DUCKWEED"
"ca half";3;"single";"Hälfte";"DUCKWEED"
"ca 3/4";4;"single";"Dreiviertel";"DUCKWEED"
"completely";5;"single";"Komplett";"DUCKWEED"
"^$";6;"single";"Keine Antwort";"DUCKWEED"
"no mussels";NA;"multiple";"Keine Muscheln";"LAKE_MUSSELS"
"other mussles";NA;"multiple";"Sonstige Muscheln";"LAKE_MUSSELS"
"^$";NA;"multiple";"Keine Antwort";"LAKE_MUSSELS"
"yes, some";2;"single";"Ein bisschen";"LAKE_DEADWOOD"
"yes, a lot";3;"single";"Viel";"LAKE_DEADWOOD"
"none";1;"single";"Keins";"LAKE_DEADWOOD"
"^$";4;"single";"Keine Antwort";"LAKE_DEADWOOD"
"waterfowl";NA;"multiple";"Wasservögel";"LAKE_ANIMALS"
"fish";NA;"multiple";"Fische";"LAKE_ANIMALS"
"no visible animals";NA;"multiple";"Keine Tiere sichtbar";"LAKE_ANIMALS"
"dragonflies";NA;"multiple";"Libellen";"LAKE_ANIMALS"
"amphibians";NA;"multiple";"Amphibien";"LAKE_ANIMALS"
"^$";NA;"multiple";"Keine Antwort";"LAKE_ANIMALS"
"none";1;"single";"Keine";"LAKE_WATER_LEVEL"
"yes, small";2;"single";"Ja, kleine";"LAKE_WATER_LEVEL"
"unknown";4;"single";"Keine Ahnung";"LAKE_WATER_LEVEL"
"yes, large";3;"single";"Ja, große";"LAKE_WATER_LEVEL"
"^$";5;"single";"Keine Antwort";"LAKE_WATER_LEVEL"
"yes";NA;"single";"Ja";"LAKE_DRIES_OUT"
"non";NA;"single";"Nein";"LAKE_DRIES_OUT"
"Unknown";NA;"single";"Keine Ahnung";"LAKE_DRIES_OUT"
"^$";NA;"single";"Keine Antwort";"LAKE_DRIES_OUT"
